model,parameter,value
lightgbm,learning_rate,0.020763482134447155
lightgbm,num_leaves,49
lightgbm,max_depth,9
lightgbm,min_child_samples,33
lightgbm,feature_fraction,0.8698385129840963
lightgbm,bagging_fraction,0.7728284587275367
lightgbm,bagging_freq,4
lightgbm,lambda_l1,0.42754101835854963
lightgbm,lambda_l2,0.02541912674409519
lightgbm,min_gain_to_split,0.10789142699330445
xgboost,learning_rate,0.025691100161474374
xgboost,max_depth,4
xgboost,min_child_weight,5
xgboost,subsample,0.6750300724595839
xgboost,colsample_bytree,0.7080589128703798
xgboost,gamma,0.34569374524826657
xgboost,lambda,1.4740680461408981
xgboost,alpha,1.197143151579027
catboost,iterations,2617
catboost,learning_rate,0.037415239225603365
catboost,depth,4
catboost,l2_leaf_reg,7.158097238609412
catboost,bagging_temperature,0.4401524937396013
catboost,random_strength,0.24407646968955765
catboost,border_count,142
extratrees,n_estimators,142
extratrees,max_depth,10
extratrees,min_samples_split,13
extratrees,min_samples_leaf,6
extratrees,max_features,0.7368209952651108
gradientboosting,n_estimators,127
gradientboosting,learning_rate,0.056327369591044354
gradientboosting,max_depth,3
gradientboosting,min_samples_split,14
gradientboosting,min_samples_leaf,8
gradientboosting,subsample,0.8974311531059256
gradientboosting,max_features,0.7358600104346266
ridge,alpha,0.3391998205549459
elasticnet,alpha,0.010399510317816697
elasticnet,l1_ratio,0.6767848682861811
svr,C,11.782477479554705
svr,epsilon,0.48400693985987375
svr,gamma,scale
