trial,value,params
0,9.336963969216583,"{'alpha': 0.264317941989753, 'l1_ratio': 0.8656564366741296}"
1,11.183596443934741,"{'alpha': 1.0172898165221693, 'l1_ratio': 0.21005069835952084}"
2,9.179095361404679,"{'alpha': 0.016660269596177738, 'l1_ratio': 0.7676657912833357}"
3,13.772302741092403,"{'alpha': 3.095394459615291, 'l1_ratio': 0.4746805193756908}"
4,11.76399508880036,"{'alpha': 2.06434658241892, 'l1_ratio': 0.7180690497297824}"
5,9.201163711105675,"{'alpha': 0.018317080058737164, 'l1_ratio': 0.2442156558899848}"
6,9.196892883894423,"{'alpha': 0.014966639471917228, 'l1_ratio': 0.19014682186825693}"
7,9.179069638225844,"{'alpha': 0.01014364974934318, 'l1_ratio': 0.5825351336260595}"
8,12.902649429096533,"{'alpha': 2.172885471302914, 'l1_ratio': 0.3442672786019325}"
9,16.223128743681798,"{'alpha': 6.523623491208056, 'l1_ratio': 0.5853232484418943}"
10,9.289001834171703,"{'alpha': 0.13724612859011784, 'l1_ratio': 0.6958897931412638}"
11,10.178011133588903,"{'alpha': 0.8555778724363321, 'l1_ratio': 0.6514119397078079}"
12,9.389274732668865,"{'alpha': 0.1696018264645342, 'l1_ratio': 0.405773082960592}"
13,9.208257756945489,"{'alpha': 0.07475782721768469, 'l1_ratio': 0.8555381393563757}"
14,9.206025030999763,"{'alpha': 0.018256451297460854, 'l1_ratio': 0.10933095993711152}"
15,9.202636060405073,"{'alpha': 0.055135130472516246, 'l1_ratio': 0.8066307446741899}"
16,9.188137008561755,"{'alpha': 0.04326308255591865, 'l1_ratio': 0.8656591017708503}"
17,9.193242653104912,"{'alpha': 0.04685181907956659, 'l1_ratio': 0.8384517172889353}"
18,9.20226625224242,"{'alpha': 0.05236859209822201, 'l1_ratio': 0.7937331310596807}"
19,9.179110858813928,"{'alpha': 0.010178732499295235, 'l1_ratio': 0.582228570661709}"
20,9.180252558401564,"{'alpha': 0.010180468200734297, 'l1_ratio': 0.5297093062316935}"
21,9.179161340278382,"{'alpha': 0.010013831499843752, 'l1_ratio': 0.5720303856975949}"
22,9.18188592196945,"{'alpha': 0.01249982308725963, 'l1_ratio': 0.5681910307196066}"
23,9.20235366410409,"{'alpha': 0.02782244176716768, 'l1_ratio': 0.5171302088971589}"
24,9.195001335677706,"{'alpha': 0.026095922691988373, 'l1_ratio': 0.6086048320588621}"
25,9.187307840972803,"{'alpha': 0.025435946457013355, 'l1_ratio': 0.7292801693178155}"
26,9.194361686264456,"{'alpha': 0.02764264737257923, 'l1_ratio': 0.6459646759231975}"
27,9.193563623910238,"{'alpha': 0.027419885890853413, 'l1_ratio': 0.6552366146219627}"
28,9.18627214791405,"{'alpha': 0.025745642023168737, 'l1_ratio': 0.7507286059991398}"
29,9.276912498605068,"{'alpha': 0.08348149188681883, 'l1_ratio': 0.4429398219448488}"
30,9.330594768114873,"{'alpha': 0.12875750222458648, 'l1_ratio': 0.4440216004144329}"
31,9.288193466425923,"{'alpha': 0.0953478960843775, 'l1_ratio': 0.4630569225138936}"
32,9.60334272224054,"{'alpha': 0.49719493496252676, 'l1_ratio': 0.7607337132211741}"
33,9.470275893534819,"{'alpha': 0.36320480946624284, 'l1_ratio': 0.7598443902728906}"
