feature,importance,cumulative_importance
formula,1198565398.9288738,0.9926215357728025
study_hours,1751341.270711263,0.99407195229855
formula_x_study,1196371.8856608074,0.9950627572221373
formula_residual,1156163.5735677083,0.9960202626390506
class_attendance,1139072.6020914714,0.996963613745845
study_from_optimal,853703.6223958334,0.9976706294844225
attendance_from_optimal,483718.07255045575,0.9980712325524614
sleep_hours,343839.3267008464,0.9983559915825769
age,268048.9800211589,0.9985779829653156
study_x_attendance,237275.86189778647,0.9987744888302849
study_method_x_hours,220795.03397623697,0.9989573456905884
sleep_quality_x_study,214203.3074544271,0.9991347434497787
facility_x_attendance,143403.8865966797,0.9992535069200712
formula_per_study,100197.6273803711,0.9993364880597403
formula_per_attendance,95782.66654459636,0.9994158128405582
study_method_ord,92316.7431640625,0.9994922672313316
sleep_from_optimal,71286.58658854167,0.9995513049785607
geometric_mean,67988.92814127605,0.9996076116885054
formula_x_efficiency,65912.3125813802,0.9996621985979884
study_per_sleep,58193.55358886719,0.9997103930265837
formula_sq,52534.843017578125,0.9997539010542678
study_bin,42540.51672363281,0.9997891320338042
facility_ord,40290.14994303385,0.9998224993165147
at_risk,37697.683268229164,0.9998537195839229
study_x_sleep,34776.70983886719,0.9998825207750471
weighted_effort,29239.479614257812,0.9999067361722093
ideal_sleep,26354.833251953125,0.9999285625782451
formula_sqrt,23472.336588541668,0.9999480017734811
sleep_quality_ord,21046.693196614582,0.9999654321122363
study_method_target,11600.0,0.9999750389387184
efficiency,9602.893473307291,0.9999829918121086
sleep_quality_target,9398.636678059896,0.999990775525189
facility_rating_target,6394.6033121744795,0.9999960713738479
difficulty_x_efficiency,4118.1934000651045,0.9999994819574182
attendance_bin,625.5233154296875,1.0000000000000002
efficiency_sq,0.0,1.0000000000000002
study_sq,0.0,1.0000000000000002
attendance_sq,0.0,1.0000000000000002
age_rank,0.0,1.0000000000000002
sqrt_attendance,0.0,1.0000000000000002
log_study_hours,0.0,1.0000000000000002
sleep_bin,0.0,1.0000000000000002
sleep_deprived,0.0,1.0000000000000002
difficulty_ord,0.0,1.0000000000000002
high_performer,0.0,1.0000000000000002
formula_log,0.0,1.0000000000000002
