model,oof_rmse,ensemble_weight
elastic,8.999317887468344,0.22486815094950466
ridge,9.006004476008707,0.24072210758819185
ridge_meta,9.043043468587115,1.6089576762395052e-11
cat,9.06928033642688,0.34095429135539856
lgb,9.240334059936671,0.034033942419294444
xgb_meta,9.248655454752269,0.04133792767429975
lgb_meta,9.272718984278006,0.00478702725462399
gbr,9.281649336489773,0.0008067531743685465
svr,9.346624175862065,0.11248979953253724
xgb,9.41813103162429,3.041883777445913e-11
et,9.449620974159927,5.272744408640893e-12
