trial,value,params
0,8.892829825516973,"{'alpha': 0.24030775161688736, 'fit_intercept': False, 'solver': 'svd'}"
1,8.892166364205613,"{'alpha': 0.035352848022925834, 'fit_intercept': True, 'solver': 'cholesky'}"
2,8.931241117025149,"{'alpha': 0.721352852544981, 'fit_intercept': False, 'solver': 'sparse_cg'}"
3,8.892128411139135,"{'alpha': 0.0451985850311862, 'fit_intercept': True, 'solver': 'saga'}"
4,8.931241116366618,"{'alpha': 1.6236777189136362, 'fit_intercept': False, 'solver': 'sparse_cg'}"
5,8.892166133730658,"{'alpha': 0.007167873403227958, 'fit_intercept': True, 'solver': 'svd'}"
6,8.89282965594002,"{'alpha': 9.75480169944639, 'fit_intercept': False, 'solver': 'svd'}"
7,8.892123391134406,"{'alpha': 5.185714462607664, 'fit_intercept': True, 'solver': 'sag'}"
8,8.931241116584626,"{'alpha': 3.3566066453747934, 'fit_intercept': False, 'solver': 'sparse_cg'}"
9,8.893023847501278,"{'alpha': 0.06767282129477013, 'fit_intercept': False, 'solver': 'saga'}"
10,8.892829725249822,"{'alpha': 0.0018142746290126669, 'fit_intercept': False, 'solver': 'cholesky'}"
11,8.8921655592229,"{'alpha': 24.299788999925944, 'fit_intercept': True, 'solver': 'auto'}"
12,8.89275804804916,"{'alpha': 0.0010360823070593634, 'fit_intercept': False, 'solver': 'sag'}"
13,8.892166119720095,"{'alpha': 2.342537832615757, 'fit_intercept': True, 'solver': 'svd'}"
14,8.89282973467687,"{'alpha': 0.19271527173396444, 'fit_intercept': False, 'solver': 'cholesky'}"
15,8.89275804804916,"{'alpha': 0.0076629508298970165, 'fit_intercept': False, 'solver': 'sag'}"
16,8.893117690133769,"{'alpha': 0.2979385281917774, 'fit_intercept': True, 'solver': 'lsqr'}"
17,8.892158543080118,"{'alpha': 615.5277435225593, 'fit_intercept': True, 'solver': 'auto'}"
18,8.892161725105748,"{'alpha': 356.63509585462174, 'fit_intercept': True, 'solver': 'auto'}"
19,8.892161747209972,"{'alpha': 349.4782246606831, 'fit_intercept': True, 'solver': 'auto'}"
20,8.892161736568907,"{'alpha': 353.133464317913, 'fit_intercept': True, 'solver': 'auto'}"
21,8.892155197761685,"{'alpha': 896.614527394895, 'fit_intercept': True, 'solver': 'auto'}"
22,8.892158812003379,"{'alpha': 591.2165319755244, 'fit_intercept': True, 'solver': 'auto'}"
23,8.892129110111316,"{'alpha': 67.43715127592135, 'fit_intercept': True, 'solver': 'saga'}"
24,8.892123391134406,"{'alpha': 54.62280742205248, 'fit_intercept': True, 'solver': 'sag'}"
25,8.892127763887814,"{'alpha': 50.29097570560457, 'fit_intercept': True, 'solver': 'saga'}"
26,8.892123391134406,"{'alpha': 40.689521324367455, 'fit_intercept': True, 'solver': 'sag'}"
27,8.892123391134406,"{'alpha': 54.31033061005428, 'fit_intercept': True, 'solver': 'sag'}"
28,8.892123391134406,"{'alpha': 48.21509192445078, 'fit_intercept': True, 'solver': 'sag'}"
29,8.892127636805323,"{'alpha': 47.405771696685896, 'fit_intercept': True, 'solver': 'saga'}"
30,8.892123391134406,"{'alpha': 41.88312862714926, 'fit_intercept': True, 'solver': 'sag'}"
